Timestamp,Age,Gender  , Purchase frequency  ,  Size ,Price ,Brand,Type,Material,Rating,Review ,color[Formal] ,color [Casual],color [Sports],Brand type ,DATE OF LAST PURCHASE OF SHOES
2025/07/14 8:16:29 PM GMT+5:30,19,Female,1,8,500 -1000,Bata,Casual,Canvas,4,Durability,Black,Black,Neon,International,05-04-2024
2025/07/14 8:20:15 PM GMT+5:30,36,Female,2=3,7,500 -1000,Bata,Casual,Synthetic,4,Durability,Black,Brown,Black,International,06-05-2024
2025/07/14 8:23:45 PM GMT+5:30,18,Female,1,6,500 -1000,Bata,Casual,Synthetic,3,Comfort;Price;Design/style,Black,White,Black,Both equally,04-10-2025
2025/07/14 8:30:16 PM GMT+5:30,17,Male,2 =3 ,6,500-1000,Other: [Short Answer],Sports,Rubber,5,Other: _____,Black,White,White,Both equally,06-08-2024
2025/07/14 8:30:55 PM GMT+5:30,20,Female,1,25,500- 1000,Sparx,Boots,Synthetic,3,Design/style,Black,Black,Black,National,20-12-2025
2025/07/14 8:31:56 PM GMT+5:30,20,Female,2=3 ,7,500 -1000,Relaxo,Formal,Canvas,2,Price,Black,Brown,Black,National,18-08-2024
2025/07/14 8:32:11 PM GMT+5:30,50,Male,1,7,500 -1000,Bata,Sports,Leather,5,Comfort;Design/style;Durability;Brand;Color,Black,Grey,White,National,06-11-2025
2025/07/14 8:34:05 PM GMT+5:30,19,Female,3=4,9,500 -1000,Puma,Casual,Rubber,3,Comfort;Price;Design/style;Color,Black,Black,White,Both equally,06-06-2020
2025/07/14 8:36:27 PM GMT+5:30,19,Female,4=5 ,8,1001 -2000,-- Indian Brands --,Ethnic,Synthetic,4,Brand,Black,Brown,Neon,National,05-10-2025
2025/07/14 8:38:33 PM GMT+5:30,19,Female,1,8,500-1000,-- Indian Brands --,Casual,Rubber,4,Comfort;Price;Material;Brand;Color,Black,Black,Black,Both equally,03-01-2024
2025/07/14 8:44:58 PM GMT+5:30,24,Male,2=3 ,9,500 -1000,Nike,Sports,Canvas,5,Comfort,Black,Black,White,International,14-08-2024
2025/07/14 8:45:12 PM GMT+5:30,20,Female,2=3 ,4,500 -1000,-- Indian Brands --,Ethnic,Leather,4,Comfort;Price;Durability;Fit;Color,Black,Brown,Grey,Both equally,11-11-2021
2025/07/14 9:01:52 PM GMT+5:30,19,Female,1,6,500 -1000,Sparx,Formal,Others,5,Material,Black,Black,White,Both equally,26-10-2020
2025/07/14 9:01:55 PM GMT+5:30,18,Female,1,5,500 -1000,Bata,Formal,Rubber,5,Comfort;Price;Design/style;Material;Durability;Fit;Brand;Color,White,Black,Grey,Both equally,04-02-2020
2025/07/14 9:08:47 PM GMT+5:30,21,Male,2=3 ,11,1001-2000,Campus,Casual,Others,5,Durability,Black,White,Black,Both equally,30-10-2025
2025/07/14 10:07:53 PM GMT+5:30,18,Female,2=3 ,9,1001-2000,Metro Shoes,Boots,Others,4,Price;Design/style;Material;Brand;Color,Brown,Black,Black,International,13-06-2023
2025/07/14 10:12:23 PM GMT+5:30,19,Male,2=3 ,10,500 -1000,RedTape,Ethnic,Synthetic,4,Durability,Brown,Grey,Black,International,31-12-2023
2025/07/14 10:14:07 PM GMT+5:30,19,Male,2=3 ,4,2001 -3000,Campus,Sports,Mesh,3,Material;Color;Other: _____,Grey,Brown,Black,National,11-03-2021
2025/07/14 10:15:11 PM GMT+5:30,15,Male,2=3 ,6,10001-2000,Sparx,Formal,Canvas,5,Comfort;Price;Design/style;Material,Neon,Black,Neon,National,23-07-2023
2025/07/14 10:19:49 PM GMT+5:30,19,Female,2=3 ,6,Below 500,-- Indian Brands --,Casual,Rubber,4,Comfort,Black,Grey,Black,Both equally,21-Feb
2025/07/14 10:20:06 PM GMT+5:30,50,Male, 4=5,9,Above 5000,Nike,Formal,Synthetic,5,Comfort;Price;Design/style;Material;Durability;Fit;Brand;Color,Black,Black,White,Both equally,20-04-2023
2025/07/14 10:46:00 PM GMT+5:30,19,Female,4=5 ,6,500 -1000,Campus,Casual,Rubber,4,Comfort;Price;Design/style;Material;Fit;Color,Brown,White,Black,Both equally,23-03-2023
2025/07/14 10:48:24 PM GMT+5:30,19,Female,1,4,500-1000,Campus,Casual,Canvas,5,Comfort;Design/style;Material;Fit;Color,Brown,Grey,Black,National,14-05-2020
2025/07/14 10:55:53 PM GMT+5:30,21,Female,2=3 ,6,500 -1000,-- Indian Brands --,Sports,Others,3,Comfort;Price;Durability;Fit,Brown,White,White,Both equally,13-04-2024
2025/07/15 8:56:00 AM GMT+5:30,35,Male,1,9,500 -1000,Sparx,Casual,Canvas,4,Comfort,Black,Black,Black,Both equally,20-02-2020
